# t_ms,raw,volt
4396.0,33784,1.7012
4400.0,34088,1.7165
4404.0,34152,1.7197
4408.0,33592,1.6915
4412.0,32968,1.6601
4416.0,32663,1.6447
4420.0,32936,1.6585
4424.0,33144,1.6690
4428.0,32327,1.6278
4432.0,31799,1.6012
4436.0,31623,1.5924
4440.0,31783,1.6004
4444.0,31671,1.5948
4448.0,31031,1.5626
4452.0,30391,1.5303
4456.0,30615,1.5416
4460.0,31271,1.5746
4464.0,31207,1.5714
4468.0,30727,1.5473
4472.0,30279,1.5247
4476.0,30071,1.5142
4480.0,30343,1.5279
4484.0,30759,1.5489
4488.0,30359,1.5287
4492.0,30503,1.5360
4496.0,30199,1.5207
4500.0,30807,1.5513
4504.0,30631,1.5424
4508.0,30631,1.5424
4512.0,30007,1.5110
4516.0,30071,1.5142
4520.0,30455,1.5336
4524.0,30567,1.5392
4528.0,30455,1.5336
4532.0,30039,1.5126
4536.0,30247,1.5231
4540.0,30727,1.5473
4544.0,30839,1.5529
4548.0,30503,1.5360
4552.0,30311,1.5263
4556.0,30295,1.5255
4560.0,30743,1.5481
4564.0,30983,1.5601
4568.0,30855,1.5537
4572.0,30487,1.5352
4576.0,30567,1.5392
4580.0,31287,1.5754
4584.0,31191,1.5706
4588.0,31015,1.5618
4592.0,30471,1.5344
4596.0,30631,1.5424
4600.0,30855,1.5537
4604.0,31191,1.5706
4608.0,31079,1.5650
4612.0,30823,1.5521
4616.0,30887,1.5553
4620.0,31175,1.5698
4624.0,31351,1.5787
4628.0,30935,1.5577
4632.0,30887,1.5553
4636.0,30855,1.5537
4640.0,31511,1.5867
4644.0,31447,1.5835
4648.0,30871,1.5545
4652.0,30535,1.5376
4656.0,30999,1.5609
4660.0,31143,1.5682
4664.0,31191,1.5706
4668.0,30871,1.5545
4672.0,30599,1.5408
4676.0,30599,1.5408
4680.0,31175,1.5698
4684.0,31303,1.5763
4688.0,31159,1.5690
4692.0,30775,1.5497
4696.0,30823,1.5521
4700.0,31255,1.5738
4704.0,31399,1.5811
4708.0,31303,1.5763
4712.0,30679,1.5448
4716.0,30631,1.5424
4720.0,31047,1.5634
4724.0,31399,1.5811
4728.0,31223,1.5722
4732.0,30583,1.5400
4736.0,30823,1.5521
4740.0,31127,1.5674
4744.0,31271,1.5746
4748.0,30727,1.5473
4752.0,30583,1.5400
4756.0,30823,1.5521
4760.0,31399,1.5811
4764.0,31383,1.5803
4768.0,30967,1.5593
4772.0,30647,1.5432
4776.0,31063,1.5642
4780.0,31271,1.5746
4784.0,31319,1.5771
4788.0,30599,1.5408
4792.0,30391,1.5303
4796.0,30887,1.5553
4800.0,31095,1.5658
4804.0,31447,1.5835
4808.0,31159,1.5690
4812.0,30247,1.5231
4816.0,30279,1.5247
4820.0,30855,1.5537
4824.0,31447,1.5835
4828.0,31255,1.5738
4832.0,30631,1.5424
4836.0,30807,1.5513
4840.0,30967,1.5593
4844.0,31223,1.5722
4848.0,31191,1.5706
4852.0,30551,1.5384
4856.0,30615,1.5416
4860.0,31063,1.5642
4864.0,31367,1.5795
4868.0,30807,1.5513
4872.0,30423,1.5319
4876.0,30471,1.5344
4880.0,30855,1.5537
4884.0,31255,1.5738
4888.0,31271,1.5746
4892.0,30967,1.5593
4896.0,30567,1.5392
4900.0,31031,1.5626
4904.0,31287,1.5754
4908.0,31303,1.5763
4912.0,31255,1.5738
4916.0,31223,1.5722
4920.0,31895,1.6061
4924.0,32263,1.6246
4928.0,31975,1.6101
4932.0,32231,1.6230
4936.0,32135,1.6182
4940.0,33048,1.6641
4944.0,33224,1.6730
4948.0,33608,1.6923
4952.0,33496,1.6867
4956.0,33672,1.6955
4960.0,33912,1.7076
4964.0,34328,1.7286
4968.0,33960,1.7100
4972.0,33752,1.6996
4976.0,33480,1.6859
4980.0,33368,1.6802
4984.0,33048,1.6641
4988.0,31703,1.5964
4992.0,30567,1.5392
4996.0,30263,1.5239
# done
